"ID" "latitud" "longitud" "altitud" "prec" "evap" "tmax" "tmin" "easting" "northing"
21012 18.92166667 -98.45416667 1904 0 4.75 27 12 557476.419293781 2092248.85930763
21016 18.8975 -98.13222222 2120 0 6.9 24.5 6 591392.075542113 2089710.28015212
21018 18.29583333 -97.16388889 1131 0 NA 29 11 694075.69088433 2023892.33704107
21019 18.2025 -97.4525 2275 0 4.75 26.5 12.5 663650.522849371 2013280.06640868
21021 19.82444444 -97.80722222 1733 0 0.55 18 7 624915.52492757 2192495.52706319
21023 18.62 -97.41055556 2115 0 1.67 24 10 667682.171367048 2059524.90034327
21024 18.52666667 -98.58222222 1117 0 NA 32 12 544094.213831513 2048506.57318495
21026 18.98388889 -97.44166667 2561 0 2.28 21 7 664046.247302312 2099770.62772734
21029 19.62194444 -97.68111111 2476 15.2 NA NA NA 638298.570861381 2170181.15759492
21031 18.85861111 -97.46305556 2384 0 NA 20 5 661914.83804791 2085885.27609928
21032 20.03888889 -97.52222222 756 0 2.3 21 12 654558.485034586 2216467.85131111
21034 18.95555556 -98.27527778 2066 0 4.86 23 11 576298.779980846 2096066.53714195
21035 19.0125 -98.19305556 2122 0 2.5 24 9 584926.698195594 2102405.38763978
21038 19.38527778 -97.28916667 2553 0 NA 17 6 679667.506818663 2144349.00734577
21040 19.37027778 -97.35583333 2360 0 4.34 22 1 672680.61160459 2142620.61421571
21045 18.74888889 -98.16916667 1425 0 NA 33 16 587577.905285657 2073247.04094844
21047 19.62277778 -97.81416667 2472 0 NA 21 6 624344.094972172 2170170.94692506
21050 18.32361111 -98.81972222 904 0 5.8 32 17 519049.589212507 2025998.64065416
21052 19.41194444 -97.39388889 2343 0 NA 25 6 668640.013128204 2147194.93815866
21053 18.60388889 -97.2725 1693 5 NA 20 7 682267.228214294 2057876.34227251
21059 19.6975 -97.5475 2854 0 3.2 12 1 652239.912284437 2178657.73885096
21060 18.83694444 -97.54722222 2414 0 NA 24 6 653066.093259322 2083412.52543064
21063 18.19972222 -98.26027778 1119 0 5.33 34 14 578222.064275119 2012439.97737948
21065 19.05 -98.16666667 2179 0 4.69 23.8 11.2 587684.462291711 2106567.99444535
21067 19.26361111 -97.14805556 2346 6.1 0.1 21 11 694634.653194738 2131033.87228399
21072 19.01972222 -97.45055556 2581 0 NA 21 7 663075.399408908 2103728.39875624
21073 18.98277778 -97.35222222 3080 0 NA 20.5 4 673465.248792909 2099733.38506231
21077 19.34638889 -97.45611111 2414 0 NA 21 5 662170.37107898 2139879.27788756
21078 19.29861111 -98.43388889 2265 0 1.33 24 5 559476.804713315 2133965.75793537
21080 19.13361111 -97.6625 2355 0 NA 20 2 640669.092377692 2116149.5627931
21081 19.02333333 -97.56694444 2428 0 NA 22 6 650820.375625777 2104024.11547506
21082 18.89833333 -97.72805556 2229 0 2.9 23 9 633961.862692078 2090059.98513715
21083 18.46388889 -97.39305556 2416 0 NA 25 16 669682.899646404 2042263.38887968
21084 18.52805556 -97.14472222 2212 0 1.8 13.5 9 695839.186156934 2049616.96361514
21091 19.81527778 -97.36 1964 0 NA 25 6 671769.98925667 2191873.66080153
21094 18.405 -96.83583333 312 0 1.23 28 17 728619.481062439 2036357.80272646
21096 19.34638889 -98.58138889 2609 0 3.95 20 8 543967.113238411 2139208.54756515
21100 19.12972222 -97.73333333 2442 0 NA 25 10 633221.460289462 2115663.66729964
21102 18.72111111 -97.785 1950 0 6.28 28.5 15 628097.827884063 2070405.45270919
21103 19.86 -97.58555556 1887 0 1.74 14 6 648100.299992603 2196610.149617
21107 19.96 -97.96 2084 1 3.93 15 5 608821.504338032 2207392.0856074
21109 18.33194444 -97.47444444 1500 0 NA 25 13 661209.82696813 2027586.35225007
21114 18.33 -97.01416667 2107 0 NA 21 11 709864.954141847 2027840.1737729
21115 17.97944444 -98.38472222 1432 0 NA 23 7 565143.481161647 1988019.32740565
21117 19.29138889 -97.34194444 1320 0 NA 21 6 674223.298526127 2133902.49335019
21118 20.17861111 -98.06611111 1570 2.3 2.27 19 8 597582.3168932 2231520.95683874
21119 19.50027778 -97.75805556 2897 0 NA 27 8.5 630326.906344599 2156655.14587057
21123 18.77861111 -98.54083333 1624 0 NA 29 14 548391.209250797 2076393.97209854
21127 20.27694444 -97.96027778 1168 1.4 3.04 20 10 608573.464251841 2242469.88850951
21129 19.61472222 -97.50111111 2585 0 NA 23 5 657183.534028212 2169537.68504136
21132 18.61222222 -98.46805556 1297 0 3.9 22 19 556116.154420945 2058004.7312139
21136 19.1125 -97.95611111 2479 0 2.57 23 10 609799.950772049 2113602.93218535
21137 20.00083333 -97.79416667 1526 0 1.6 23 6 626142.988144611 2212027.58240813
21140 19.83944444 -98.03277778 2291 0 1.95 15.5 3.5 601282.414158504 2194004.54378631
21142 20.51027778 -97.66805556 144 0 NA 25 7 638883.388649602 2268515.96735212
21143 20.14 -97.20111111 144 0 NA NA NA 688029.989570545 2227990.39560277
21147 20.40444444 -97.84472222 278 1.7 0.92 30 17 620542.673091851 2256661.89750446
21148 19.13222222 -98.07777778 2583 0 2.78 16 7 596990.176632873 2115713.4994964
21158 18.92027778 -97.2525 2887 NA NA NA NA 684034.286804796 2092916.61173948
21167 19.10555556 -98.46361111 2317 0 NA 21 11 556419.831593601 2112593.45060908
21176 18.19916667 -97.88638889 1341 0 NA 24 12 617762.745470327 2012578.25722877
21177 18.64333333 -98.69111111 1089 0 4.48 30 14 532579.287960802 2061391.90161901
21189 18.47111111 -98.77777778 979 0 4.71 33 16.5 523461.813236713 2042323.13601041
21192 18.85805556 -98.595 2025 0 NA 25 9 542662.502870423 2085170.46978247
21198 18.10944444 -98.48333333 1059 0 NA 32 11 554662.44891076 2002370.7278166
21201 19.98722222 -97.29833333 592 0 2.46 22 14 678037.783240913 2210971.19584595
21205 18.37555556 -98.36305556 1041 0 NA 30 14 567285.548559288 2031854.26438991
21207 19.78611111 -97.55277778 2493 0 1.5 19 7 651602.945774182 2188460.87214696
21210 20.04055556 -98.17388889 2419 3 1.1 17.5 4.5 586395.693736269 2216182.64558021
21212 20.74833333 -97.865 131 1.4 0.57 22 15 618161.624417447 2294710.06247796
21215 20.1 -97.41027778 287 0 1.32 29 16 666204.389401756 2223339.90448872
21219 20.4275 -97.78666667 180 2 NA 26 16 626582.058561194 2259257.44750638
21220 20.17722222 -98.06111111 1555 2.8 NA 21 7 598105.67303156 2231370.18912533
21221 19.08527778 -97.54138889 2233 0 3 24 4 653453.407336254 2110902.06321622
21223 19.09 -98.53166667 2648 0 NA 28 -2 549265.905252521 2110851.65440177
21230 18.6125 -98.165 1208 0 6.69 31 14 588087.588592369 2058157.19771635
21231 18.7125 -98.2625 1418 0 3.99 31 15 577755.848052613 2069177.25653747
21235 18.88388889 -98.38027778 1815 0 NA 27 11 565271.817372785 2088094.34496439
21236 20.38583333 -97.88111111 240 9.2 NA NA NA 616759.471687509 2254575.72299716
21242 19.09305556 -98.05944444 2435 0 6.65 22 7 598941.729287253 2111389.55458311
21243 18.96888889 -97.95833333 2225 NA NA NA NA 609660.460984649 2097709.13522182
21244 19.49 -97.49444444 2486 0 3.8 22 6 658004.199282005 2155739.04581338
21247 19.06861111 -98.31805556 2155 0 2.5 24 9 571746.451478573 2108558.64351866
21248 19.02416667 -98.21555556 2123 0 NA 24 10 582552.811212905 2103685.66288419
21249 18.93888889 -98.135 2390 0 2.89 21 7 591077.089837249 2094288.81120338
29002 19.41555556 -98.14 2423 0 2.33 23 6 590290.503759257 2147034.06087113
29003 19.55555556 -98.20277778 2489 0 4.31 21 3 583627.271893061 2162495.05743941
29005 19.29888889 -97.76972222 2468 0 4.87 24 2 629261.472657377 2134358.08853022
29007 19.31805556 -97.64722222 2350 0 4 26 6 642117.401047611 2136575.28918145
29026 19.19972222 -97.9075 2565 0.01 2.51 25 7 614853.117140988 2123286.64640944
29031 19.31194444 -98.24416667 2281 0 2.65 24.5 10.5 579403.774273576 2135517.21303097
29035 19.58611111 -98.56388889 2587 0 3.48 22 4 545737.893765976 2165739.77553658
29169 19.21944444 -98.24305556 2215 0 2.9 26 6 579565.128012477 2125281.80288284
